ID,Rank,Player,N,Prime Date,Prime Rank,DOB,RET,W/O,RET+W/O,Total Matches,Years,Age
7338,1,Alexandra Stevenson ,USA,28-Oct-02,18,15-Dec-80,64,1,65,767,20,35.09
6151,2,Romina Oprandi ,SUI,10-Jun-13,32,29-Mar-86,29,7,36,594,15,29.80
1007,3,Marion Bartoli ,FRA,30-Jan-12,7,2-Oct-84,31,4,35,800,15,31.29
7082,4,Virginie Razzano ,FRA,14-Sep-09,16,12-May-83,31,1,32,723,18,32.68
6564,5,Nadia Petrova ,RUS,15-May-06,3,8-Jun-82,24,6,30,845,19,33.61
11289,6,Victoria Azarenka ,BLR,30-Jan-12,1,31-Jul-89,22,7,29,607,13,26.46
9044,7,Serena Williams ,USA,8-Jul-02,1,26-Sep-81,13,15,28,879,20,34.31
3932,8,Jelena Jankovic ,SRB,11-Aug-08,1,28-Feb-85,24,3,27,949,16,30.88
4189,9,Eva Krejcova ,CZE,10-Sep-01,184,12-Nov-76,24,2,26,370,12,39.18
700,10,Kristina Brandi ,PUR,4-Dec-00,27,29-Mar-77,23,3,26,777,17,38.81
5875,11,Henrieta Nagyova ,SVK,17-Sep-01,21,15-Dec-78,22,4,26,607,14,37.09
1473,12,Tathiana Garbin ,ITA,21-May-07,22,30-Jun-77,22,4,26,767,19,38.55
7054,13,Anastasia Rodionova ,AUS,16-Aug-10,62,12-May-82,23,2,25,876,19,33.68
7648,14,Selima Sfar ,TUN,16-Jul-01,75,8-Jul-77,21,4,25,782,19,38.53
12089,15,Ayumi Morita ,JPN,3-Oct-11,40,11-Mar-90,22,2,24,474,12,25.85
7867,16,Valentina Sassi ,ITA,8-Apr-02,144,12-Jul-80,23,0,23,539,12,35.52
8779,17,Nathalie Vierin ,ITA,15-May-06,103,15-Oct-82,22,1,23,583,13,33.26
4421,18,Aniko Kapros ,HUN,10-May-04,44,11-Nov-83,21,2,23,384,13,32.18
6787,19,Barbara Rittner ,GER,1-Feb-93,24,25-Apr-73,20,2,22,592,18,42.74
6602,20,Frederica Piedade ,POR,15-May-06,142,5-Jun-82,19,3,22,549,13,33.62
10244,21,Heidi El Tabakh ,CAN,8-Oct-12,146,25-Sep-86,19,2,21,603,14,29.31
6355,22,Shuai Peng ,CHN,22-Aug-11,14,8-Jan-86,15,6,21,649,16,30.02
4218,23,Sandra Kleinova ,CZE,5-Jan-98,41,8-May-78,19,1,20,680,15,37.70
4792,24,Lindsay Lee-Waters ,USA,1-Apr-96,33,28-Jun-77,15,5,20,841,22,38.56
11771,25,Sabine Lisicki ,GER,21-May-12,12,22-Sep-89,14,6,20,482,12,26.32
1836,26,Lindsay Davenport ,USA,12-Oct-98,1,8-Jun-76,9,11,20,963,19,39.61
12273,27,Tamira Paszek ,AUT,11-Feb-13,26,6-Dec-90,19,0,19,457,11,25.11
8787,28,Julia Vakulenko ,UKR,19-Nov-07,32,10-Jul-83,19,0,19,473,13,32.52
291,29,Monique Adamczak ,AUS,19-Apr-10,138,21-Jan-83,16,3,19,684,18,32.99
7721,30,Meghann Shaughnessy ,USA,10-Sep-01,11,13-Apr-79,12,7,19,728,18,36.77
932,31,Elena Baltacha ,GBR,13-Sep-10,49,14-Aug-83,11,8,19,577,17,32.43
11827,32,Magdalena Rybarikova ,SVK,19-Aug-13,31,4-Oct-88,17,1,18,583,12,27.28
1860,33,Kimiko Date-Krumm ,JPN,13-Nov-95,4,28-Sep-70,17,1,18,713,18,45.31
12135,34,Dominika Cibulkova ,SVK,31-Mar-14,10,6-May-89,16,2,18,571,12,26.70
10462,35,Yaroslava Shvedova ,KAZ,29-Oct-12,25,12-Sep-87,15,3,18,556,14,28.35
1626,36,u'St\xe9phanie Cohen-Aloro ,FRA,6-Oct-03,61,18-Mar-83,17,0,17,548,13,32.84
10569,37,Olga Govortsova ,BLR,23-Jun-08,35,23-Aug-88,17,0,17,573,14,27.40
3089,38,Stephanie Gehrlein ,GER,14-Jun-04,121,10-Apr-82,16,1,17,385,14,33.77
4438,39,Zuzana Kucova ,SVK,7-Jun-10,101,26-Jun-82,16,1,17,589,14,33.56
6548,40,Camille Pin ,FRA,8-Jan-07,61,25-Aug-81,16,1,17,667,15,34.40
8820,41,Ana Vrljic ,CRO,26-Aug-13,180,1-Aug-84,16,1,17,712,15,31.46
1919,42,Germana Di Natale ,ITA,12-Jun-00,149,2-Apr-74,14,3,17,332,12,41.80
9891,43,Maria Kirilenko ,RUS,10-Jun-13,10,25-Jan-87,14,3,17,627,14,28.98
972,44,Eva Birnerova ,CZE,29-Jan-07,59,14-Aug-84,14,3,17,643,17,31.42
4788,45,Emilie Loit ,FRA,19-Apr-04,27,9-Jun-79,12,5,17,682,16,36.61
14183,46,Vitalia Diatchenko ,RUS,17-Nov-14,71,2-Aug-90,16,0,16,304,9,25.45
12761,47,Ksenia Pervak ,RUS,19-Sep-11,37,27-May-91,16,0,16,418,11,24.64
7931,48,Claudine Schaul ,LUX,24-May-04,41,20-Aug-83,16,0,16,597,16,32.41
2394,49,Silvia Farina Elia ,ITA,20-May-02,11,27-Apr-72,16,0,16,841,18,43.73
4441,50,Anne Keothavong ,GBR,23-Feb-09,48,16-Sep-83,15,1,16,734,15,32.34
13120,51,Johanna Konta ,GBR,19-Oct-15,46,17-May-91,14,2,16,383,10,24.67
7866,52,Julia Schruff ,GER,17-Apr-06,52,16-Aug-82,14,2,16,638,15,33.42
10733,53,Regina Kulikova ,RUS,3-May-10,65,30-Jan-89,13,3,16,275,9,26.96
13772,54,Kiki Bertens ,NED,15-Apr-13,41,10-Dec-91,15,0,15,399,10,24.10
8576,55,Noelle Van Lottum ,FRA,11-Jan-93,57,12-Jul-72,14,1,15,393,13,43.52
11957,56,Alexandra Dulgheru ,ROU,11-Apr-11,26,30-May-89,14,1,15,490,12,26.63
14447,57,Lesia Tsurenko ,UKR,26-Oct-15,33,30-May-89,14,1,15,495,9,26.63
3898,58,Mervana Jugic-Salkic ,BIH,21-Jun-04,99,14-May-80,14,1,15,662,17,35.68
1682,59,Melinda Czink ,HUN,21-Sep-09,37,22-Oct-82,14,1,15,764,15,33.24
2609,60,Rika Fujiwara ,JPN,22-Aug-05,84,19-Sep-81,13,2,15,762,19,34.33
9376,61,Vera Zvonareva ,RUS,25-Oct-10,2,7-Sep-84,11,4,15,714,16,31.36
2018,62,Elena Dementieva ,RUS,6-Apr-09,3,15-Oct-81,10,5,15,859,16,34.26
8697,63,Ludmilla Varmuza ,SMR,14-Jul-97,159,25-Feb-79,14,0,14,201,10,36.90
13872,64,Lyudmyla Kichenok ,UKR,21-Jul-14,156,20-Jul-92,14,0,14,327,10,23.49
11556,65,Ye-Ra Lee ,KOR,22-Sep-08,178,14-Sep-87,14,0,14,400,12,28.34
929,66,Severine Beltrame ,FRA,5-Feb-07,34,14-Aug-79,14,0,14,690,17,36.43
9297,67,Alina Jidkova ,RUS,7-Mar-05,51,18-Jan-77,14,0,14,887,20,39.00
14919,68,Bianca Botto ,PER,20-Apr-15,199,6-Jun-91,13,1,14,306,9,24.61
7644,69,Syna Schreiber ,GER,17-Nov-97,152,20-Nov-78,13,1,14,407,13,37.16
7716,70,Milagros Sequera ,VEN,9-Jul-07,48,30-Sep-80,13,1,14,526,15,35.30
2073,71,Jelena Dokic ,AUS,19-Aug-02,4,12-Apr-83,13,1,14,572,17,32.77
3561,72,Vanessa Henke ,GER,26-Sep-05,137,15-Jan-81,13,1,14,601,16,35.01
10032,73,Olga Puchkova ,RUS,11-Jun-07,32,27-Sep-87,13,1,14,613,14,28.30
11043,74,u'Beatriz Garc\xeda Vidagany ,ESP,5-Jul-10,146,17-Nov-88,12,2,14,439,13,27.16
4939,75,Varvara Lepchenko ,USA,1-Oct-12,19,21-May-86,12,2,14,750,16,29.66
7232,76,u'Paola Su\xe1rez ,ARG,7-Jun-04,9,23-Jun-76,11,3,14,615,19,39.57
6578,77,Flavia Pennetta ,ITA,28-Sep-15,6,25-Feb-82,10,4,14,953,19,33.89
9027,78,Venus Williams ,USA,25-Feb-02,1,17-Jun-80,6,8,14,917,22,35.59
17559,79,Tereza Martincova ,CZE,3-Aug-15,171,24-Oct-94,13,0,13,276,6,21.22
2907,80,Sophie Georges ,FRA,11-Jun-01,182,8-Feb-77,13,0,13,350,12,38.94
9939,81,Anna Chakvetadze ,RUS,10-Sep-07,5,5-Mar-87,13,0,13,467,12,28.87
4500,82,Darya Kustova ,BLR,18-Jan-10,117,29-May-86,13,0,13,472,13,29.64
5492,83,Akiko Morigami ,JPN,15-Aug-05,41,12-Jan-80,13,0,13,529,15,36.02
12631,84,Caroline Wozniacki ,DEN,11-Oct-10,1,11-Jul-90,13,0,13,670,11,25.52
4838,85,Mirjana Lucic-Baroni ,CRO,11-May-98,32,9-Mar-82,12,1,13,642,19,33.86
1082,86,Ekaterina Bychkova ,RUS,20-Feb-06,66,5-Jun-85,12,1,13,708,15,30.62
3589,87,Daniela Hantuchova ,SVK,27-Jan-03,5,23-Apr-83,12,1,13,935,18,32.74
5984,88,Zuzana Ondraskova ,CZE,9-Feb-04,74,3-May-80,10,3,13,702,18,35.71
10892,89,Elena Chalova ,RUS,9-Nov-09,151,16-May-87,9,4,13,288,9,28.67
1583,90,Kim Clijsters ,BEL,11-Aug-03,1,8-Jun-83,8,5,13,657,15,32.61
4994,91,Melissa Mazzotta ,USA,3-Mar-97,182,21-Jun-72,12,0,12,280,14,43.58
13874,92,Nadiia Kichenok ,UKR,6-Jan-14,100,20-Jul-92,12,0,12,355,10,23.49
14453,93,u'Aliz\xe9 Lim ,FRA,26-May-14,135,13-Jul-90,12,0,12,422,9,25.51
12874,94,Vesna Dolonc ,SRB,8-Jul-13,84,21-Jul-89,12,0,12,495,11,26.49
360,95,Akgul Amanmuradova ,UZB,26-May-08,50,23-Jun-84,12,0,12,613,16,31.57
1595,96,Margalita Chakhnashvili-Ranzinger ,GEO,30-Jul-07,134,9-Dec-82,12,0,12,730,19,33.11
5606,97,Caroline Maes ,BEL,28-May-07,151,9-Nov-82,11,1,12,447,12,33.19
3960,98,Helen Kelesi ,CAN,20-Nov-89,13,15-Nov-69,11,1,12,447,12,46.18
