Rank,Name,Country,bagels,recv bagels,Total Matches,Years,send/recv,Bagel%
1,Chris Evert,USA,411,12,1365,20,34.25,30.1%
2,Martina Navratilova ,USA,317,17,1656,30,18.65,19.1%
3,Steffi Graf ,GER,246,12,1025,18,20.50,24.0%
4,Conchita Mart\xednez ,ESP,169,51,1040,20,3.31,16.3%
5,Monica Seles ,USA,165,11,723,15,15.00,22.8%
6,Gabriela Sabatini ,ARG,161,25,821,13,6.44,19.6%
7,Arantxa Sanchez-Vicario ,ESP,155,37,1061,20,4.19,14.6%
8,Serena Williams ,USA,145,8,879,20,18.13,16.5%
9,Lindsay Davenport ,USA,134,11,963,19,12.18,13.9%
10,Martina Hingis ,SUI,116,25,685,16,4.64,16.9%
11,Yuliya Beygelzimer ,UKR,112,36,838,17,3.11,13.4%
12,Anne Schaefer ,GER,111,43,656,11,2.58,16.9%
13,Maria Fernanda Alves ,BRA,110,62,914,18,1.77,12.0%
14,Agnieszka Radwanska ,POL,109,26,724,12,4.19,15.1%
15,Pam Shriver ,USA,108,24,864,22,4.50,12.5%
16,Manuela Maleeva-Fragniere ,SUI,106,28,663,14,3.79,16.0%
17,Mary Pierce,FRA,106,29,750,18,3.66,14.1%
18,Maria Sharapova ,RUS,105,13,753,15,8.08,13.9%
19,Marion Bartoli ,FRA,105,48,800,15,2.19,13.1%
20,Venus Williams ,USA,104,19,917,22,5.47,11.3%
21,Na Li ,CHN,100,20,699,16,5.00,14.3%
22,Jelena Jankovic ,SRB,98,28,949,16,3.50,10.3%
23,Mar\xeda Irigoyen ,ARG,98,44,698,11,2.23,14.0%
24,Caroline Wozniacki ,DEN,96,15,670,11,6.40,14.3%
25,Amanda Coetzer ,RSA,96,49,909,19,1.96,10.6%
26,Kristina Brandi ,PUR,95,45,777,17,2.11,12.2%
27,Andrea Koch-Benvenuto ,CHI,93,36,587,15,2.58,15.8%
28,Tzipora Obziler ,ISR,92,31,633,22,2.97,14.5%
29,Rika Fujiwara ,JPN,92,43,762,19,2.14,12.1%
30,Mihaela Buzarnescu ,ROU,91,21,446,11,4.33,20.4%
31,Monica Niculescu ,ROU,91,44,683,14,2.07,13.3%
32,Dia Evtimova ,BUL,91,55,737,14,1.65,12.3%
33,Tamarine Tanasugarn ,THA,91,64,1002,26,1.42,9.1%
34,Vera Zvonareva ,RUS,90,22,714,16,4.09,12.6%
35,Justine Henin ,BEL,89,10,647,15,8.90,13.8%
36,Kim Clijsters ,BEL,89,14,657,15,6.36,13.5%
37,Ekaterina Lopes ,RUS,89,30,548,13,2.97,16.2%
38,Laura Siegemund ,GER,88,25,593,14,3.52,14.8%
39,Chanelle Scheepers ,RSA,88,50,783,16,1.76,11.2%
40,Petra Rampre ,SLO,88,63,918,22,1.40,9.6%
41,Laura Pous-Tio ,ESP,87,33,662,15,2.64,13.1%
42,Anabel Medina Garrigues ,ESP,87,43,836,19,2.02,10.4%
43,Sofia Arvidsson ,SWE,86,33,791,17,2.61,10.9%
44,Patty Schnyder ,SUI,86,42,962,20,2.05,8.9%
45,Rushmi Chakravarthi ,IND,83,53,557,21,1.57,14.9%
46,Anne Kremer ,LUX,83,55,915,23,1.51,9.1%
47,Anna Remondina ,ITA,82,28,550,12,2.93,14.9%
48,Tracy Austin ,USA,81,18,375,13,4.50,21.6%
49,Ekaterine Gorgodze ,GEO,81,23,455,10,3.52,17.8%
50,Madison Brengle ,USA,81,35,598,12,2.31,13.5%
51,Amy Frazier ,USA,81,44,837,21,1.84,9.7%
52,Anna Smashnova ,ISR,81,53,707,18,1.53,11.5%
53,Hana Mandlikova ,AUS,80,23,660,13,3.48,12.1%
54,Chanel Simmonds ,RSA,80,25,384,9,3.20,20.8%
55,Kimiko Date-Krumm ,JPN,80,28,713,18,2.86,11.2%
56,Pemra Ozgen ,TUR,80,34,619,15,2.35,12.9%
57,Estrella Cabeza Candela ,ESP,80,40,662,14,2.00,12.1%
58,Roberta Vinci ,ITA,80,44,880,19,1.82,9.1%
59,Victoria Azarenka ,BLR,79,7,607,13,11.29,13.0%
60,Nadia Petrova ,RUS,79,22,845,19,3.59,9.3%
61,Lindsay Lee-Waters ,USA,79,46,841,22,1.72,9.4%
62,Zuzana Ondraskova ,CZE,79,47,702,18,1.68,11.3%
63,Greta Arn ,HUN,79,48,761,20,1.65,10.4%
64,Roxane Vaisemberg ,BRA,77,19,318,10,4.05,24.2%
65,Mi-Ra Jeon ,KOR,76,29,482,13,2.62,15.8%
66,Shahar Peer ,ISR,76,36,685,15,2.11,11.1%
67,Sara Errani ,ITA,76,45,763,14,1.69,10.0%
68,Rossana De Los R\xedos ,PAR,76,57,762,18,1.33,10.0%
69,St\xe9phanie Foretz  ,FRA,76,61,1008,19,1.25,7.5%
70,Lourdes Dom\xednguez Lino ,ESP,76,85,951,20,0.89,8.0%
71,Anna Korzeniak ,POL,75,24,484,13,3.13,15.5%
72,Alberta Brianti ,ITA,75,50,921,21,1.50,8.1%
73,Svetlana Krivencheva ,BUL,75,63,854,24,1.19,8.8%
74,Nicole Pratt ,AUS,75,66,900,22,1.14,8.3%
75,Conny Perrin ,SUI,74,21,491,9,3.52,15.1%
76,Helena Sukova ,CZE,74,28,928,18,2.64,8.0%
77,Kateryna Bondarenko ,UKR,74,28,625,15,2.64,11.8%
78,Yung-Jan Chan ,TPE,74,28,471,13,2.64,15.7%
79,Jana Novotna ,CZE,74,33,801,18,2.24,9.2%
80,Olga Savchuk ,UKR,74,43,635,14,1.72,11.7%
81,Su-Wei Hsieh ,TPE,73,22,595,15,3.32,12.3%
82,Magdalena Maleeva ,BUL,73,25,739,17,2.92,9.9%
83,Mary Joe Fernandez ,USA,73,25,643,17,2.92,11.4%
84,Alice Canepa ,ITA,73,30,506,15,2.43,14.4%
85,Yurika Sema ,JPN,73,31,606,13,2.35,12.0%
86,Eva Fernandez-Brugues ,ESP,73,31,549,13,2.35,13.3%
87,Martina Sucha ,SVK,73,32,585,13,2.28,12.5%
88,Marie-\xc8ve Pelletier ,CAN,73,41,690,18,1.78,10.6%
89,Mathilde Johansson ,FRA,73,43,693,16,1.70,10.5%
90,Shiho Hisamatsu ,JPN,73,51,698,21,1.43,10.5%
91,Alina Jidkova ,RUS,73,61,887,20,1.20,8.2%
92,Jill Craybas ,USA,73,65,889,20,1.12,8.2%
93,Jennifer Capriati ,USA,72,18,610,15,4.00,11.8%
94,Anastasia Grymalska ,ITA,72,19,495,10,3.79,14.5%
95,Amanda Carreras ,GBR,72,21,469,10,3.43,15.4%
96,Elena Dementieva ,RUS,72,31,859,16,2.32,8.4%
97,Romina Oprandi ,SUI,72,37,594,15,1.95,12.1%
98,Cagla Buyukakcay ,TUR,72,39,540,12,1.85,13.3%
99,Emma Laine ,FIN,71,21,470,15,3.38,15.1%
100,Paula Cristina Goncalves ,BRA,71,22,369,10,3.23,19.2%
101,Surina De Beer ,RSA,71,25,448,16,2.84,15.8%
102,Katerina Maleeva ,BUL,71,27,581,13,2.63,12.2%
103,Ana Ivanovic ,SRB,70,15,682,13,4.67,10.3%
104,Elena Bovina ,RUS,70,24,625,16,2.92,11.2%
105,Julie Ditty ,USA,70,27,526,15,2.59,13.3%
106,Hana Sromova ,CZE,70,38,619,16,1.84,11.3%
107,Anna Floris ,ITA,70,75,765,17,0.93,9.2%
108,Lauren Albanese ,USA,69,20,417,11,3.45,16.5%
109,Katarina Srebotnik ,SLO,69,28,660,21,2.46,10.5%
110,Valentina Sulpizio ,ITA,69,37,487,13,1.86,14.2%
111,Selima Sfar ,TUN,69,40,782,19,1.73,8.8%
112,Dominika Cibulkova ,SVK,68,25,571,12,2.72,11.9%
113,Ana Vrljic ,CRO,68,29,712,15,2.34,9.6%
114,Mandy Minella ,LUX,68,42,657,15,1.62,10.4%
115,Anne Keothavong ,GBR,68,44,734,15,1.55,9.3%
116,Sabine Klaschka ,GER,68,47,489,13,1.45,13.9%
117,Elena Likhovtseva ,RUS,68,55,808,20,1.24,8.4%
118,Ulrikke Eikeri ,NOR,67,11,323,9,6.09,20.7%
119,Madalina Gojnea ,ROU,67,17,354,11,3.94,18.9%
120,Agnes Szatmari ,ROU,67,21,367,12,3.19,18.3%
121,Barbara Schett ,AUT,67,26,629,16,2.58,10.7%
122,Monique Adamczak ,AUS,67,37,684,18,1.81,9.8%
123,Sandra Kleinova ,CZE,67,37,680,15,1.81,9.9%
124,Melinda Czink ,HUN,67,38,764,15,1.76,8.8%
125,Florencia Molinero ,ARG,67,38,558,12,1.76,12.0%
126,Martina M\xfcller ,GER,67,38,548,12,1.76,12.2%
127,Katerina Kramperova ,CZE,67,43,536,13,1.56,12.5%
128,Sybille Bammer ,AUT,67,48,702,16,1.40,9.5%
129,Virginia Ruano Pascual ,ESP,67,60,749,22,1.12,8.9%
130,Mar\xeda Jos\xe9 Mart\xednez S\xe1nchez ,ESP,66,18,601,18,3.67,11.0%
131,Andrea Petkovic ,GER,66,21,613,14,3.14,10.8%
132,Barbora Strycova ,CZE,66,30,739,15,2.20,8.9%
133,Marta Domachowska ,POL,66,30,574,15,2.20,11.5%
134,Jorgelina Cravero ,ARG,66,32,547,14,2.06,12.1%
135,Florencia Labat ,ARG,66,34,523,15,1.94,12.6%
136,Francesca Schiavone ,ITA,66,40,1012,20,1.65,6.5%
137,Jana Nejedly ,CAN,66,46,584,14,1.43,11.3%
138,Alexandra Dulgheru ,ROU,65,26,490,12,2.50,13.3%
139,Darija Jurak ,CRO,65,31,557,16,2.10,11.7%
140,Erika Sema ,JPN,65,37,530,13,1.76,12.3%
141,Erika De Lone ,USA,65,38,643,17,1.71,10.1%
142,Nudnida Luangnam ,THA,65,43,565,14,1.51,11.5%
143,Camille Pin ,FRA,65,48,667,15,1.35,9.7%
144,Bettina Fulco-Vilella ,ARG,65,51,541,14,1.27,12.0%
145,Maria Elena Camerin ,ITA,65,56,854,19,1.16,7.6%
146,Klara Koukalova ,CZE,65,58,933,18,1.12,7.0%
147,Angelika Roesch ,GER,65,72,718,16,0.90,9.1%
148,Julie Coin ,FRA,64,19,630,16,3.37,10.2%
149,Lenka Jurikova ,SVK,64,21,439,9,3.05,14.6%
