Player1,W,L,Player2,Win+/-,%
Martina Navratilova,40,3,Pam Shriver,37,93%
Chris Evert,40,6,Virginia Wade,34,85%
Steffi Graf,29,4,Jana Novotna,25,86%
Martina Navratilova,29,5,Wendy Turnbull,24,83%
Chris Evert,23,0,Virginia Ruzici,23,100%
Martina Navratilova,29,7,Hana Mandlikova,22,76%
Chris Evert,22,1,Sue Barker,21,95%
Martina Navratilova,21,0,Anne Smith,21,100%
Steffi Graf,21,0,Nathalie Tauziat,21,100%
Evonne Goolagong Cawley,30,10,Virginia Wade,20,67%
Steffi Graf,28,8,Arantxa Sanchez-Vicario,20,71%
Martina Navratilova,26,6,Helena Sukova,20,77%
Martina Navratilova,22,2,Claudia Kohde-Kilsch,20,91%
Chris Evert,21,1,Wendy Turnbull,20,95%
Steffi Graf,21,1,Helena Sukova,20,95%
Martina Navratilova,21,1,Mima Jausovec,20,95%
Steffi Graf,20,1,Natasha Zvereva,19,95%
Monica Seles,20,1,Conchita Mart\xc3\xadnez,19,95%
Steffi Graf,29,11,Gabriela Sabatini,18,62%
Martina Navratilova,18,0,Barbara Potter,18,100%
Monica Seles,20,3,Arantxa Sanchez-Vicario,17,85%
Steffi Graf,17,0,Manuela Maleeva-Fragniere,17,100%
Steffi Graf,17,0,Mary Joe Fernandez,17,100%
Martina Navratilova,17,0,Bettina Bunge,17,100%
Martina Hingis,18,2,Arantxa Sanchez-Vicario,16,89%
Serena Williams,18,2,Maria Sharapova,16,89%
Martina Hingis,16,0,Sandrine Testud,16,100%
Martina Navratilova,19,4,Dianne Fromholtz (balestrat),15,79%
Chris Evert,18,3,Pam Shriver,15,83%
Chris Evert,17,2,Manuela Maleeva-Fragniere,15,88%
Chris Evert,17,2,Helena Sukova,15,88%
Chris Evert,17,2,Dianne Fromholtz (balestrat),15,88%
Martina Navratilova,17,2,Sue Barker,15,88%
Hana Mandlikova,16,1,Bettina Bunge,15,94%
Chris Evert,15,0,Betty Stove,15,100%
Chris Evert,26,12,Evonne Goolagong Cawley,14,54%
Arantxa Sanchez-Vicario,18,4,Amanda Coetzer,14,78%
Chris Evert,17,3,Andrea Jaeger,14,82%
Serena Williams,17,3,Victoria Azarenka,14,82%
Chris Evert,15,1,Sylvia Hanika,14,93%
Chris Evert,15,1,Kerry Ann Melville (reid),14,93%
Monica Seles,15,1,Mary Joe Fernandez,14,93%
Chris Evert,14,0,Mima Jausovec,14,100%
Martina Navratilova,14,0,Yvonne Vermaak,14,100%
Martina Navratilova,14,0,Catarina Lindqvist,14,100%
Arantxa Sanchez-Vicario,14,0,Barbara Rittner,14,100%
Chris Evert,14,0,Bettina Bunge,14,100%
Billie Jean King,22,9,Virginia Wade,13,59%
Justine Henin,16,3,Svetlana Kuznetsova,13,81%
Martina Navratilova,16,3,Betty Stove,13,81%
Maria Sharapova,15,2,Samantha Stosur,13,87%
Chris Evert,13,0,Claudia Kohde-Kilsch,13,100%
Chris Evert,13,0,Olga Morozova,13,100%
Chris Evert,13,0,Regina Marsikova,13,100%
Martina Navratilova,13,0,Greer Stevens,13,100%
Martina Navratilova,13,0,Virginia Ruzici,13,100%
Tracy Austin,13,0,Virginia Ruzici,13,100%
Chris Evert,19,7,Hana Mandlikova,12,63%
Chris Evert,19,7,Billie Jean King,12,63%
Martina Navratilova,18,6,Virginia Wade,12,67%
Conchita Mart\xc3\xadnez,15,3,Amanda Coetzer,12,80%
Justine Henin,14,2,Nadia Petrova,12,86%
Martina Navratilova,14,2,Sylvia Hanika,12,86%
Virginia Wade,14,2,Mima Jausovec,12,86%
Steffi Graf,13,1,Conchita Mart\xc3\xadnez,12,92%
Jelena Jankovic,13,1,Alona Bondarenko,12,92%
Martina Navratilova,13,1,Kathy Jordan,12,92%
Chris Evert,12,0,Bonnie Gadusek,12,100%
Kim Clijsters,12,0,Francesca Schiavone,12,100%
Martina Navratilova,12,0,Ann Kiyomura,12,100%
Virginia Wade,12,0,Pam Teeguarden,12,100%
Martina Navratilova,12,0,Lori McNeil,12,100%
Maria Sharapova,13,2,Agnieszka Radwanska,11,85%
Rosie Casals,13,2,Pam Teeguarden,11,85%
Arantxa Sanchez-Vicario,12,1,Nathalie Tauziat,11,92%
Manuela Maleeva-Fragniere,12,1,Raffaella Reggi,11,92%
Martina Hingis,12,1,Anke Huber,11,92%
Am\xc3\xa9lie Mauresmo,11,0,Ai Sugiyama,11,100%
Chris Evert,11,0,Joanne Russell-Longdon,11,100%
Martina Hingis,11,0,Barbara Schett,11,100%
Steffi Graf,11,0,Katerina Maleeva,11,100%
Steffi Graf,11,0,Judith Wiesner,11,100%
Martina Navratilova,11,0,Rosalyn Nideffer,11,100%
Vera Zvonareva,11,0,Francesca Schiavone,11,100%
Venus Williams,11,0,Patty Schnyder,11,100%
Martina Hingis,15,5,Monica Seles,10,67%
Arantxa Sanchez-Vicario,14,4,Conchita Mart\xc3\xadnez,10,71%
Lindsay Davenport,13,3,Nathalie Tauziat,10,77%
Lindsay Davenport,13,3,Amanda Coetzer,10,77%
Lindsay Davenport,12,2,Sandrine Testud,10,83%
Steffi Graf,12,2,Claudia Kohde-Kilsch,10,83%
Hana Mandlikova,12,2,Helena Sukova,10,83%
Arantxa Sanchez-Vicario,12,2,Anke Huber,10,83%
Steffi Graf,12,2,Zina Garrison,10,83%
Martina Hingis,11,1,Anna Kournikova,10,91%
Pam Shriver,11,1,Alycia Moulton,10,91%
Conchita Mart\xc3\xadnez,11,1,Magdalena Maleeva,10,91%
Serena Williams,11,1,Na Li,10,91%
Evonne Goolagong Cawley,11,1,Dianne Fromholtz (balestrat),10,91%
Billie Jean King,11,1,Wendy Turnbull,10,91%
Justine Henin,10,0,Jelena Jankovic,10,100%
Lindsay Davenport,10,0,Elena Likhovtseva,10,100%
Lindsay Davenport,10,0,Amy Frazier,10,100%
Monica Seles,10,0,Nathalie Tauziat,10,100%
Monica Seles,10,0,Naoko Sawamatsu,10,100%
Steffi Graf,10,0,Anke Huber,10,100%
Martina Navratilova,10,0,Kate Latham,10,100%
Monica Seles,10,0,Ai Sugiyama,10,100%
Martina Navratilova,15,6,Gabriela Sabatini,9,60%
Pam Shriver,13,4,Bettina Bunge,9,69%
Chris Evert,12,3,Kathy Jordan,9,75%
Martina Navratilova,12,3,Arantxa Sanchez-Vicario,9,75%
Justine Henin,11,2,Elena Dementieva,9,82%
Arantxa Sanchez-Vicario,11,2,Zina Garrison,9,82%
Helena Sukova,11,2,Lori McNeil,9,82%
Steffi Graf,10,1,Jennifer Capriati,9,90%
Kim Clijsters,10,1,Daniela Hantuchova,9,90%
Lindsay Davenport,10,1,Ai Sugiyama,9,90%
Martina Navratilova,10,1,Joanne Russell-Longdon,9,90%
Serena Williams,10,1,Caroline Wozniacki,9,90%
Tracy Austin,10,1,Anne Smith,9,90%
Martina Navratilova,10,1,Kathleen Horvath,9,90%
Jana Novotna,10,1,Patricia Hy-Boulais,9,90%
Gabriela Sabatini,10,1,Nathalie Tauziat,9,90%
Nadia Petrova,10,1,Jie Zheng,9,90%
Francesca Schiavone,10,1,Aliz\xc3\xa9 Cornet,9,90%
Chris Evert,9,0,Kathy Rinaldi Stunkel,9,100%
Chris Evert,9,0,Sharon Walsh,9,100%
Chris Evert,9,0,Kate Latham,9,100%
Lindsay Davenport,9,0,Jelena Dokic,9,100%
Martina Navratilova,9,0,Sharon Walsh,9,100%
Serena Williams,9,0,Sara Errani,9,100%
Serena Williams,9,0,Lucie Safarova,9,100%
Steffi Graf,9,0,Andrea Temesvari,9,100%
Arantxa Sanchez-Vicario,9,0,Leila Meskhi,9,100%
Venus Williams,9,0,Elena Likhovtseva,9,100%
Caroline Wozniacki,9,0,Jarmila Wolfe,9,100%
Monica Seles,9,0,Manuela Maleeva-Fragniere,9,100%
Pam Shriver,9,0,Wendy Prausa,9,100%
Monica Seles,9,0,Anke Huber,9,100%
Chris Evert,9,0,Carling Bassett-Seguso,9,100%
Natasha Zvereva,9,0,Brenda Schultz-McCarthy,9,100%
Lindsay Davenport,12,4,Am\xc3\xa9lie Mauresmo,8,67%
Elena Dementieva,12,4,Daniela Hantuchova,8,67%
Arantxa Sanchez-Vicario,11,3,Natasha Zvereva,8,73%
Kim Clijsters,11,3,Elena Dementieva,8,73%
Martina Hingis,11,3,Conchita Mart\xc3\xadnez,8,73%
Ana Ivanovic,11,3,Svetlana Kuznetsova,8,73%
Monica Seles,11,3,Gabriela Sabatini,8,73%
Martina Navratilova,11,3,Manuela Maleeva-Fragniere,8,73%
Serena Williams,10,2,Am\xc3\xa9lie Mauresmo,8,80%
Lindsay Davenport,10,2,Anke Huber,8,80%
Lindsay Davenport,10,2,Patty Schnyder,8,80%
Elena Dementieva,10,2,Nathalie Dechy,8,80%
Pam Shriver,10,2,Rosalyn Nideffer,8,80%
Martina Hingis,10,2,Amanda Coetzer,8,80%
Virginia Wade,10,2,Dianne Fromholtz (balestrat),8,80%
Andrea Jaeger,10,2,Sylvia Hanika,8,80%
Arantxa Sanchez-Vicario,9,1,Brenda Schultz-McCarthy,8,89%
Martina Navratilova,9,1,Nathalie Tauziat,8,89%
Martina Navratilova,9,1,Kerry Ann Melville (reid),8,89%
Martina Navratilova,9,1,Larisa Neiland,8,89%
Venus Williams,9,1,Monica Seles,8,89%
Serena Williams,9,1,Ana Ivanovic,8,89%
Steffi Graf,9,1,Julie Halard-Decugis,8,89%
Vera Zvonareva,9,1,Nathalie Dechy,8,89%
Venus Williams,9,1,Silvia Farina Elia,8,89%
Monica Seles,9,1,Amy Frazier,8,89%
Jelena Jankovic,9,1,Sybille Bammer,8,89%
Pam Shriver,9,1,Betsy Nagelsen,8,89%
Monica Seles,9,1,Amanda Coetzer,8,89%
Maria Sharapova,9,1,Nadia Petrova,8,89%
Maria Sharapova,9,1,Daniela Hantuchova,8,89%
Serena Williams,9,1,Daniela Hantuchova,8,89%
Venus Williams,9,1,Chanda Rubin,8,89%
Chris Evert,8,0,Barbara Potter,8,100%
Chris Evert,8,0,Anne Smith,8,100%
Chris Evert,8,0,Alycia Moulton,8,100%
Jelena Jankovic,8,0,Anabel Medina Garrigues,8,100%
Jennifer Capriati,8,0,Meghann Shaughnessy,8,100%
Lindsay Davenport,8,0,Nathalie Dechy,8,100%
Martina Hingis,8,0,Elena Likhovtseva,8,100%
Martina Navratilova,8,0,Raffaella Reggi,8,100%
Martina Navratilova,8,0,Mary Lou Daniels,8,100%
Serena Williams,8,0,Agnieszka Radwanska,8,100%
Serena Williams,8,0,Maria Kirilenko,8,100%
Steffi Graf,8,0,Magdalena Maleeva,8,100%
Tracy Austin,8,0,Mima Jausovec,8,100%
Tracy Austin,8,0,Betsy Nagelsen,8,100%
Gabriela Sabatini,8,0,Helen Kelesi,8,100%
Pam Shriver,8,0,Eva Pfaff,8,100%
Martina Navratilova,8,0,Gigi Fernandez,8,100%
Steffi Graf,8,0,Bettina Fulco-Vilella,8,100%
Arantxa Sanchez-Vicario,8,0,Florencia Labat,8,100%
Patty Schnyder,8,0,Virginia Ruano Pascual,8,100%
Elena Likhovtseva,8,0,Janette Husarova,8,100%
Venus Williams,8,0,Francesca Schiavone,8,100%
Helena Sukova,8,0,Robin White,8,100%
Martina Navratilova,8,0,Mary Joe Fernandez,8,100%
Hana Mandlikova,8,0,Sue Barker,8,100%
Petra Kvitova,8,0,Lucie Safarova,8,100%
Marion Bartoli,8,0,Ayumi Morita,8,100%
Venus Williams,8,0,Anna Kournikova,8,100%
Virginia Ruzici,8,0,Sharon Walsh,8,100%
Martina Navratilova,20,13,Tracy Austin,7,35%
Am\xc3\xa9lie Mauresmo,13,6,Patty Schnyder,7,54%
Victoria Azarenka,12,5,Agnieszka Radwanska,7,58%
Billie Jean King,11,4,Evonne Goolagong Cawley,7,64%
Martina Navratilova,11,4,Andrea Jaeger,7,64%
Svetlana Kuznetsova,11,4,Agnieszka Radwanska,7,64%
Steffi Graf,11,4,Amanda Coetzer,7,64%
Lindsay Davenport,10,3,Monica Seles,7,70%
Gabriela Sabatini,10,3,Jana Novotna,7,70%
Lucie Safarova,10,3,Samantha Stosur,7,70%
Gabriela Sabatini,10,3,Zina Garrison,7,70%
Chris Evert,9,2,Zina Garrison,7,78%
Lindsay Davenport,9,2,Julie Halard-Decugis,7,78%
Monica Seles,9,2,Sandrine Testud,7,78%
Steffi Graf,9,2,Lori McNeil,7,78%
Nathalie Dechy,9,2,Meghann Shaughnessy,7,78%
Helena Sukova,9,2,Rosalyn Nideffer,7,78%
Nadia Petrova,9,2,Katarina Srebotnik,7,78%
Agnieszka Radwanska,9,2,Tsvetana Pironkova,7,78%
Dominika Cibulkova,9,2,Tsvetana Pironkova,7,78%
Mona Barthel,9,2,Kiki Bertens,7,78%
Sue Barker,9,2,Betsy Nagelsen,7,78%
Vera Zvonareva,9,2,Marion Bartoli,7,78%
Am\xc3\xa9lie Mauresmo,8,1,Anastasia Myskina,7,88%
Am\xc3\xa9lie Mauresmo,8,1,Vera Zvonareva,7,88%
Maria Sharapova,8,1,Jelena Jankovic,7,88%
Justine Henin,8,1,Patty Schnyder,7,88%
Kim Clijsters,8,1,Jelena Jankovic,7,88%
Steffi Graf,8,1,Hana Mandlikova,7,88%
Tracy Austin,8,1,Kathy Jordan,7,88%
Arantxa Sanchez-Vicario,8,1,Sabine Hack,7,88%
Shuai Peng,8,1,Ayumi Morita,7,88%
Andrea Jaeger,8,1,Mima Jausovec,7,88%
Andrea Jaeger,8,1,Virginia Ruzici,7,88%
Caroline Wozniacki,8,1,Aleksandra Wozniak,7,88%
Arantxa Sanchez-Vicario,8,1,Bettina Fulco-Vilella,7,88%
Venus Williams,8,1,Amanda Coetzer,7,88%
Gabriela Sabatini,8,1,Natasha Zvereva,7,88%
Patty Schnyder,8,1,Denisa Chladkova,7,88%
Anke Huber,8,1,Barbara Rittner,7,88%
Mary Joe Fernandez,8,1,Judith Wiesner,7,88%
Andrea Jaeger,8,1,Sue Barker,7,88%
Zina Garrison,8,1,Raffaella Reggi,7,88%
Gabriela Sabatini,8,1,Katerina Maleeva,7,88%
Manuela Maleeva-Fragniere,8,1,Katerina Maleeva,7,88%
Anna Lapushchenkova,8,1,Vitalia Diatchenko,7,88%
Am\xc3\xa9lie Mauresmo,7,0,Tatiana Panova,7,100%
Ana Ivanovic,7,0,Elina Svitolina,7,100%
Chris Evert,7,0,Mary Joe Fernandez,7,100%
Chris Evert,7,0,Kathleen Horvath,7,100%
Chris Evert,7,0,Peanut Harper,7,100%
Chris Evert,7,0,Yvonne Vermaak,7,100%
Justine Henin,7,0,Conchita Mart\xc3\xadnez,7,100%
Kim Clijsters,7,0,Chanda Rubin,7,100%
Lindsay Davenport,7,0,Nadia Petrova,7,100%
Lindsay Davenport,7,0,Daniela Hantuchova,7,100%
Lindsay Davenport,7,0,Barbara Schett,7,100%
Lindsay Davenport,7,0,Paola Su\xc3\xa1rez,7,100%
Lindsay Davenport,7,0,Ruxandra Dragomir Ilie,7,100%
Maria Sharapova,7,0,Anna Chakvetadze,7,100%
Maria Sharapova,7,0,Shahar Peer,7,100%
Martina Navratilova,7,0,Kathy Rinaldi Stunkel,7,100%
Martina Navratilova,7,0,Catherine Tanvier,7,100%
Martina Navratilova,7,0,Wendy Prausa,7,100%
Steffi Graf,7,0,Iva Majoli,7,100%
Steffi Graf,7,0,Chanda Rubin,7,100%
Tracy Austin,7,0,Kate Latham,7,100%
Venus Williams,7,0,Caroline Wozniacki,7,100%
Wendy Turnbull,7,0,Anne Smith,7,100%
Martina Hingis,7,0,Nathalie Dechy,7,100%
Am\xc3\xa9lie Mauresmo,7,0,Silvia Farina Elia,7,100%
Conchita Mart\xc3\xadnez,7,0,Leila Meskhi,7,100%
Amy Frazier,7,0,Debbie Graham,7,100%
Hana Mandlikova,7,0,Rosalyn Nideffer,7,100%
Kathy Rinaldi Stunkel,7,0,Rosalyn Nideffer,7,100%
Mary Pierce,7,0,Sabine Appelmans,7,100%
Dominique Monami,7,0,Sabine Appelmans,7,100%
Steffi Graf,7,0,Patty Fendick,7,100%
Venus Williams,7,0,Tamarine Tanasugarn,7,100%
Jana Novotna,7,0,Yayuk Basuki,7,100%
Conchita Mart\xc3\xadnez,7,0,Barbara Rittner,7,100%
Jana Novotna,7,0,Sandrine Testud,7,100%
Na Li,7,0,Dominika Cibulkova,7,100%
Svetlana Kuznetsova,7,0,Anabel Medina Garrigues,7,100%
Martina Navratilova,7,0,Anne Harris,7,100%
Sandrine Testud,7,0,Miriam Oremans,7,100%
Helena Sukova,7,0,Elise Burgin,7,100%
Emmanuelle Gagliardi,7,0,Kristina Brandi,7,100%
Gabriela Sabatini,7,0,Patricia Hy-Boulais,7,100%
Kim Clijsters,7,0,Cara Black,7,100%
Gabriela Sabatini,7,0,Isabelle Demongeot,7,100%
Pam Shriver,7,0,Anne White,7,100%
Anke Huber,7,0,Elena Likhovtseva,7,100%
Claudia Kohde-Kilsch,7,0,Katerina Maleeva,7,100%
Samantha Stosur,7,0,Monica Niculescu,7,100%
Daniela Hantuchova,7,0,Barbara Schett,7,100%
Daniela Hantuchova,7,0,Katarina Srebotnik,7,100%
Daniela Hantuchova,7,0,Vania King,7,100%
Yuka Yoshida,7,0,Jane Chi,7,100%
Dinara Safina,7,0,Flavia Pennetta,7,100%
Serena Williams,7,0,Flavia Pennetta,7,100%
Flavia Pennetta,7,0,Samantha Stosur,7,100%
Evgeniya Rodina,7,0,Anna Lapushchenkova,7,100%
Agnieszka Radwanska,7,0,Marion Bartoli,7,100%
Venus Williams,7,0,Ai Sugiyama,7,100%
Caroline Wozniacki,7,0,Ekaterina Makarova,7,100%
Jana Novotna,7,0,Dominique Monami,7,100%
Pam Shriver,7,0,Lori McNeil,7,100%
Martina Navratilova,43,37,Chris Evert,6,14%
Mary Pierce,12,6,Conchita Mart\xc3\xadnez,6,50%
Gabriela Sabatini,12,6,Helena Sukova,6,50%
Gabriela Sabatini,11,5,Jennifer Capriati,6,55%
Lindsay Davenport,11,5,Elena Dementieva,6,55%
Serena Williams,10,4,Jelena Jankovic,6,60%
Serena Williams,10,4,Lindsay Davenport,6,60%
Maria Sharapova,10,4,Ana Ivanovic,6,60%
Ana Ivanovic,9,3,Jelena Jankovic,6,67%
Lindsay Davenport,9,3,Jennifer Capriati,6,67%
Lindsay Davenport,9,3,Chanda Rubin,6,67%
Martina Hingis,9,3,Jana Novotna,6,67%
Steffi Graf,9,3,Pam Shriver,6,67%
Venus Williams,9,3,Ana Ivanovic,6,67%
Caroline Wozniacki,9,3,Dominika Cibulkova,6,67%
Zina Garrison,9,3,Gigi Fernandez,6,67%
Conchita Mart\xc3\xadnez,9,3,Chanda Rubin,6,67%
Virginia Wade,9,3,Sharon Walsh,6,67%
Maria Sharapova,9,3,Elena Dementieva,6,67%
Venus Williams,9,3,Elena Dementieva,6,67%
Pam Shriver,9,3,Helena Sukova,6,67%
Victoria Azarenka,9,3,Marion Bartoli,6,67%
Jelena Jankovic,8,2,Flavia Pennetta,6,75%
Jennifer Capriati,8,2,Magdalena Maleeva,6,75%
Justine Henin,8,2,Anastasia Myskina,6,75%
Kim Clijsters,8,2,Dinara Safina,6,75%
Martina Hingis,8,2,Iva Majoli,6,75%
Martina Hingis,8,2,Chanda Rubin,6,75%
Serena Williams,8,2,Vera Zvonareva,6,75%
Tracy Austin,8,2,Andrea Jaeger,6,75%
Tracy Austin,8,2,Barbara Potter,6,75%
Conchita Mart\xc3\xadnez,8,2,Sabine Hack,6,75%
Elena Bovina,8,2,Francesca Schiavone,6,75%
Vera Zvonareva,8,2,Shuai Peng,6,75%
Conchita Mart\xc3\xadnez,8,2,Nathalie Tauziat,6,75%
Serena Williams,8,2,Svetlana Kuznetsova,6,75%
Mary Pierce,8,2,Amanda Coetzer,6,75%
Hana Mandlikova,8,2,Pam Shriver,6,75%
Arantxa Sanchez-Vicario,8,2,Kimiko Date-Krumm,6,75%
Samantha Stosur,8,2,Vera Zvonareva,6,75%
Ana Ivanovic,7,1,Anastasia Pavlyuchenkova,6,86%
Arantxa Sanchez-Vicario,7,1,Ai Sugiyama,6,86%
Arantxa Sanchez-Vicario,7,1,Judith Wiesner,6,86%
Jelena Jankovic,7,1,Elena Vesnina,6,86%
Jennifer Capriati,7,1,Anke Huber,6,86%
Justine Henin,7,1,Francesca Schiavone,6,86%
Kim Clijsters,7,1,Svetlana Kuznetsova,6,86%
Lindsay Davenport,7,1,Silvia Farina Elia,6,86%
Steffi Graf,7,1,Nicole Bradtke,6,86%
Venus Williams,7,1,Vera Zvonareva,6,86%
Silvia Farina Elia,7,1,Mar\xc3\xada S\xc3\xa1nchez Lorenzo,6,86%
Am\xc3\xa9lie Mauresmo,7,1,Elena Likhovtseva,6,86%
Irina Spirlea,7,1,Elena Likhovtseva,6,86%
Barbara Schett,7,1,Elena Likhovtseva,6,86%
Zina Garrison,7,1,Rosalyn Nideffer,6,86%
Katerina Maleeva,7,1,Gigi Fernandez,6,86%
Andrea Jaeger,7,1,Joanne Russell-Longdon,6,86%
Conchita Mart\xc3\xadnez,7,1,Judith Wiesner,6,86%
Jana Novotna,7,1,Radka Zrubakova,6,86%
Na Li,7,1,Angelique Kerber,6,86%
Na Li,7,1,Lucie Safarova,6,86%
Svetlana Kuznetsova,7,1,Jie Zheng,6,86%
Henrieta Nagyova,7,1,Cristina Torrens Valero,6,86%
Anabel Medina Garrigues,7,1,Tathiana Garbin,6,86%
Martina Navratilova,7,1,Betsy Nagelsen,6,86%
Virginia Wade,7,1,Betsy Nagelsen,6,86%
Mary Lou Daniels,7,1,Betsy Nagelsen,6,86%
Gabriela Sabatini,7,1,Amanda Coetzer,6,86%
Hana Mandlikova,7,1,Barbara Potter,6,86%
Manuela Maleeva-Fragniere,7,1,Mercedes Paz,6,86%
Nadia Petrova,7,1,Anna-Lena Groenefeld,6,86%
Barbara Potter,7,1,Sandy Collins,6,86%
Anke Huber,7,1,Irina Spirlea,6,86%
Claudia Kohde-Kilsch,7,1,Marcella Mesker,6,86%
Nadia Petrova,7,1,Lilia Osterloh,6,86%
Jill Craybas,7,1,Akgul Amanmuradova,6,86%
Steffi Graf,7,1,Kimiko Date-Krumm,6,86%
Magdalena Maleeva,7,1,Chanda Rubin,6,86%
Venus Williams,7,1,Samantha Stosur,6,86%
Petra Kvitova,7,1,Samantha Stosur,6,86%
Caroline Wozniacki,7,1,Daniela Hantuchova,6,86%
Bettina Bunge,7,1,Rosalyn Nideffer,6,86%
Caroline Wozniacki,7,1,Flavia Pennetta,6,86%
Martina Navratilova,7,1,Katerina Maleeva,6,86%
Conchita Mart\xc3\xadnez,7,1,Katerina Maleeva,6,86%
Anne Smith,7,1,Barbara Potter,6,86%
Marion Bartoli,7,1,Lucie Safarova,6,86%
Marion Bartoli,7,1,Jill Craybas,6,86%
Maria Sharapova,7,1,Patty Schnyder,6,86%
Chris Evert,7,1,Lisa Bonder-Kreiss,6,86%
Arantxa Sanchez-Vicario,6,0,Naoko Sawamatsu,6,100%
Arantxa Sanchez-Vicario,6,0,Magui Serna,6,100%
Arantxa Sanchez-Vicario,6,0,Tami Jones,6,100%
Chris Evert,6,0,Greer Stevens,6,100%
Chris Evert,6,0,Stephanie Rehe,6,100%
Chris Evert,6,0,Rosalyn Nideffer,6,100%
Chris Evert,6,0,Betsy Nagelsen,6,100%
Chris Evert,6,0,Ann Kiyomura,6,100%
Jelena Jankovic,6,0,Tsvetana Pironkova,6,100%
Jennifer Capriati,6,0,Amy Frazier,6,100%
Justine Henin,6,0,Vera Zvonareva,6,100%
Kim Clijsters,6,0,Ana Ivanovic,6,100%
Kim Clijsters,6,0,Magdalena Maleeva,6,100%
Kim Clijsters,6,0,Silvia Farina Elia,6,100%
Lindsay Davenport,6,0,Jana Novotna,6,100%
